w,16.0,2048.0,16.0,256.0,0.0,512.0,32.0,1024.0,0.0,0.0,2.0,2.0,0.0,0.0,256.0,0.0
d,16.0,2048.0,16.0,256.0,0.0,512.0,32.0,1024.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,256.0
w,16.0,2048.0,16.0,256.0,0.0,512.0,32.0,1024.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,256.0
d,16.0,2048.0,16.0,256.0,4.0,512.0,32.0,1024.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,256.0
w,16.0,2048.0,16.0,256.0,4.0,512.0,32.0,1024.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,256.0
a,16.0,2048.0,16.0,256.0,4.0,512.0,32.0,1024.0,4.0,8.0,0.0,0.0,256.0,0.0,0.0,0.0
w,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,256.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
a,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,256.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0
d,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,0.0,256.0,8.0,4.0,0.0,0.0,0.0,2.0
a,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,2.0,256.0,8.0,4.0,2.0,0.0,0.0,0.0
w,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,4.0,256.0,8.0,4.0,0.0,0.0,2.0,0.0
d,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,4.0,256.0,8.0,4.0,0.0,0.0,0.0,4.0
w,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,4.0,256.0,8.0,8.0,2.0,0.0,0.0,0.0
d,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,0.0,4.0,256.0,16.0,0.0,0.0,0.0,4.0
a,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,2.0,4.0,256.0,16.0,4.0,0.0,0.0,0.0
d,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,2.0,4.0,256.0,16.0,0.0,0.0,4.0,2.0
a,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,2.0,4.0,256.0,16.0,2.0,4.0,2.0,0.0
w,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,4.0,8.0,256.0,16.0,0.0,0.0,2.0,2.0
a,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,4.0,8.0,256.0,16.0,4.0,2.0,0.0,0.0
w,16.0,2048.0,16.0,256.0,8.0,512.0,32.0,1024.0,8.0,8.0,256.0,16.0,0.0,2.0,0.0,2.0
w,16.0,2048.0,16.0,256.0,16.0,512.0,32.0,1024.0,0.0,8.0,256.0,16.0,0.0,2.0,2.0,2.0
w,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,0.0,8.0,256.0,16.0,0.0,2.0,2.0,2.0
a,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,8.0,256.0,16.0,0.0,4.0,4.0,2.0,0.0
a,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,8.0,256.0,16.0,2.0,8.0,2.0,0.0,0.0
w,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,4.0,0.0,2.0,0.0,0.0
d,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,4.0,0.0,0.0,0.0,4.0
w,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,8.0,2.0,0.0,0.0,0.0
d,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,8.0,0.0,0.0,0.0,4.0
d,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,8.0,0.0,0.0,2.0,4.0
d,32.0,2048.0,16.0,256.0,2.0,512.0,32.0,1024.0,16.0,256.0,16.0,8.0,0.0,0.0,4.0,4.0
d,512.0,32.0,256.0,8.0,0.0,4.0,1024.0,128.0,0.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,2.0,4.0,1024.0,128.0,0.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,4.0,4.0,1024.0,128.0,0.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
d,512.0,32.0,256.0,8.0,0.0,8.0,1024.0,128.0,2.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,4.0,8.0,1024.0,128.0,0.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,4.0,8.0,1024.0,128.0,2.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,4.0,8.0,1024.0,128.0,4.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
w,512.0,32.0,256.0,8.0,8.0,8.0,1024.0,128.0,2.0,16.0,2048.0,1024.0,0.0,4.0,512.0,8.0
d,512.0,32.0,256.0,8.0,0.0,16.0,1024.0,128.0,2.0,16.0,2048.0,1024.0,0.0,8.0,512.0,8.0
w,512.0,32.0,256.0,8.0,4.0,32.0,1024.0,128.0,0.0,8.0,2048.0,1024.0,0.0,0.0,512.0,8.0
w,512.0,64.0,256.0,8.0,4.0,8.0,1024.0,128.0,2.0,0.0,2048.0,1024.0,0.0,0.0,512.0,8.0
a,512.0,64.0,256.0,8.0,4.0,8.0,1024.0,128.0,4.0,2048.0,1024.0,0.0,512.0,8.0,0.0,0.0
w,512.0,64.0,256.0,8.0,8.0,8.0,2048.0,128.0,512.0,2048.0,2.0,0.0,0.0,8.0,0.0,0.0
d,512.0,64.0,256.0,8.0,0.0,16.0,2048.0,128.0,0.0,512.0,2048.0,2.0,0.0,0.0,8.0,2.0
w,512.0,64.0,256.0,8.0,0.0,16.0,4096.0,128.0,0.0,512.0,8.0,4.0,0.0,2.0,0.0,0.0
